"Ign","Team","Agent","Picks","Matches","Percentage"
"Rawkus","Sentinels (ex)","Omen",3,6,"50.00"
"Pay","Veronica7 (ex)","Raze",3,5,"60.00"
"wyz","FUSION","Jett",3,14,"21.43"
"pdr","INGAMING Esports (ex)","Skye",3,9,"33.33"
"Rainy","Griffin E-Sports","Skye",3,16,"18.75"
"Rainy","Griffin E-Sports","Sage",3,16,"18.75"
"Pepper","IGZIST (ex)","Chamber",3,19,"15.79"
"Phantom","FAV gaming","Breach",3,23,"13.04"
"Phantom","FAV gaming","Cypher",3,23,"13.04"
"Phantom","FAV gaming","Killjoy",3,23,"13.04"
"Rain","CNJ Esports","Chamber",3,18,"16.67"
"Phantom","FAV gaming","KAY/O",3,23,"13.04"
"Rabbet","Rex Regum Qeon","Fade",3,7,"42.86"
"Boostio","Evil Geniuses","Skye",3,35,"8.57"
"QutionerX","BBL Esports","Raze",3,26,"11.54"
"poised","Rise (ex)","Cypher",3,12,"25.00"
"pollo","Team Vikings (ex)","Jett",3,9,"33.33"
"Pooky","CNJ Esports (ex)","Killjoy",3,6,"50.00"
"Pooky","CNJ Esports (ex)","Chamber",3,6,"50.00"
"popogachi","Crazy Raccoon","Sage",3,40,"7.50"
"popogachi","Crazy Raccoon","Fade",3,40,"7.50"
"PTC","FULL SENSE (ex)","KAY/O",3,11,"27.27"
"WIX","Maru Gaming (ex)","Fade",3,58,"5.17"
"Brinks","Gamelanders Blue (si)","KAY/O",3,9,"33.33"
"Brofeld","Hexad (ex)","Reyna",3,6,"50.00"
"Brofeld","Hexad (ex)","Chamber",3,6,"50.00"
"Witz","Team Secret (ex)","KAY/O",3,24,"12.50"
"Witz","Team Secret (ex)","Breach",3,24,"12.50"
"C0M","Evil Geniuses","Fade",3,23,"13.04"
"wippie","Version1 (Inactive) (ex)","Viper",3,21,"14.29"
"zepher","REJECT (ex)","Brimstone",3,31,"9.68"
"2GE","Rex Regum Qeon","Astra",3,8,"37.50"
"zepher","REJECT (ex)","Raze",3,31,"9.68"
"zennakukinn","BLUE BEES.ESP (ex)","Sage",3,13,"23.08"
"AloNeFillz","Made in Thailand","Raze",3,28,"10.71"
"Wavy","CNJ Esports","Fade",3,24,"12.50"
"ClarK","World Game Star (ex)","Jett",3,5,"60.00"
"Cloud","Natus Vincere (ex)","Sage",3,35,"8.57"
"alyaL","CERBERUS Esports (ex)","Breach",3,7,"42.86"
"cNed","Acend (ex)","Sage",3,37,"8.11"
"cNed","Acend (ex)","Reyna",3,37,"8.11"
"Wavy","CNJ Esports","Jett",3,24,"12.50"
"alyaL","CERBERUS Esports (ex)","Skye",3,7,"42.86"
"zennakukinn","BLUE BEES.ESP (ex)","Sova",3,13,"23.08"
"crws","XERXIA Esports (ex)","Brimstone",3,61,"4.92"
"W1nner","Griffin E-Sports","Sova",3,16,"18.75"
"W1nner","Griffin E-Sports","Raze",3,16,"18.75"
"ANDROID","NRG Esports (ex)","Killjoy",3,13,"23.08"
"curry","Cloud9 (ex)","Omen",3,17,"17.65"
"ANDROID","NRG Esports (ex)","Chamber",3,13,"23.08"
"vong","FOKUS (ex)","Omen",3,12,"25.00"
"D1E","Meta Gaming (ex)","Sova",3,10,"30.00"
"Victor","OpTic Gaming (ex)","Phoenix",3,111,"2.70"
"D1E","Movistar Optix","Cypher",3,14,"21.43"
"ANGE1","FunPlus Phoenix (ex)","Sova",3,85,"3.53"
"vickt0r","Movistar Optix","Astra",3,27,"11.11"
"d3ffo","Gambit Esports (ex)","Jett",3,5,"60.00"
"d4v41","Paper Rex","Sova",3,61,"4.92"
"vickt0r","Movistar Optix","Breach",3,27,"11.11"
"DaeGi","Tartarus (ex)","Raze",3,14,"21.43"
"Veroneze","Team Vikings (ex)","Jett",3,9,"33.33"
"Danielesflo","FUSION (ex)","Brimstone",3,4,"75.00"
"ANGE1","FunPlus Phoenix (ex)","Jett",3,85,"3.53"
"dazzLe","Luminosity Gaming (ex)","Sage",3,33,"9.09"
"ANGE1","FunPlus Phoenix (ex)","KAY/O",3,85,"3.53"
"valyn","The Guard","KAY/O",3,110,"2.73"
"Dcop","FUSION","Sova",3,14,"21.43"
"DDcream","Pentagon","Viper",3,5,"60.00"
"valyn","The Guard (ex)","KAY/O",3,110,"2.73"
"deigara","9z Team","Omen",3,39,"7.69"
"Delend","Made in Thailand (ex)","Viper",3,17,"17.65"
"Den2","Spear Gaming (ex)","Skye",3,7,"42.86"
"DeNaro","MIBR (ex)","Skye",3,17,"17.65"
"Dep","ZETA DIVISION","Omen",3,63,"4.76"
"Dep","ZETA DIVISION","Fade",3,63,"4.76"
"zekken","XSET (ex)","Sage",3,66,"4.55"
"Derialy","FENNEL (ex)","Sova",3,7,"42.86"
"7ssk7","Natus Vincere (ex)","Raze",3,35,"8.57"
"Derialy","NORTHEPTION","Sova",3,26,"11.54"
"Derialy","NORTHEPTION","Brimstone",3,26,"11.54"
"Derrek","Rise (ex)","Breach",3,12,"25.00"
"Deryeon","Bleed Esports (ex)","Chamber",3,37,"8.11"
"Destrian","LDN UTD (ex)","Sova",3,12,"25.00"
"Destrian","LDN UTD (ex)","Astra",3,12,"25.00"
"Destrian","OG LDN UTD (ex)","Breach",3,21,"14.29"
"Destrian","OG LDN UTD (ex)","Sova",3,21,"14.29"
"dgzin","FURIA","KAY/O",3,15,"20.00"
"dgzin","Gamelanders Blue (ex)","Neon",3,24,"12.50"
"vakk","Acend","Sage",3,24,"12.50"
"Apoth","Evil Geniuses","Omen",3,23,"13.04"
"Dhimorutoo","Reignite (ex)","Omen",3,8,"37.50"
"DippER","VPZ (ex)","Killjoy",3,4,"75.00"
"disk0","ORDER (ex)","Breach",3,16,"18.75"
"disk0","ORDER (ex)","KAY/O",3,16,"18.75"
"disk0","ORDER (ex)","Chamber",3,16,"18.75"
"Dispenser","Team Secret","KAY/O",3,20,"15.00"
"Dobsha","E-Xolos LAZER (ex)","Jett",3,7,"42.86"
"DOGAO","Movistar Optix","Cypher",3,13,"23.08"
"DOGAO","Movistar Optix","Astra",3,13,"23.08"
"Draxii","Rex Regum Qeon (ex)","Breach",3,8,"37.50"
"Draxii","Rex Regum Qeon (ex)","Omen",3,8,"37.50"
"ardiis","FunPlus Phoenix (ex)","Breach",3,89,"3.37"
"Dreamas","LDN UTD (ex)","Chamber",3,12,"25.00"
"Dreamas","Team Liquid (ex)","Sage",3,11,"27.27"
"v1xen","Keyd Stars (ex)","Brimstone",3,25,"12.00"
"zeek","Acend (ex)","Skye",3,28,"10.71"
"Dualing","Storks Phalanx (ex)","Skye",3,4,"75.00"
"DubsteP","Team Secret","Raze",3,27,"11.11"
"ardiis","FunPlus Phoenix (ex)","Sova",3,89,"3.37"
"DubsteP","Team Secret","Chamber",3,27,"11.11"
"Duno","Natus Vincere (ex)","Omen",3,35,"8.57"
"Duno","Natus Vincere (ex)","KAY/O",3,35,"8.57"
"DxN","No Namers (ex)","Chamber",3,5,"60.00"
"Eeyore","Persija Esports","Cypher",3,16,"18.75"
"tuyz","TBK Esports (ex)","Neon",3,38,"7.89"
"tuyz","TBK Esports (ex)","Raze",3,38,"7.89"
"Eliza","GoNGo Prince (ex)","Viper",3,7,"42.86"
"Envy","FENNEL (ex)","Cypher",3,7,"42.86"
"EROC","EVA:e (ex)","Astra",3,3,"100.00"
"Tuli","Movistar Optix (ex)","Neon",3,27,"11.11"
"Esperanza","DAMWON Gaming","Fade",3,58,"5.17"
"TS","On Sla2ers (si)","Sova",3,6,"50.00"
"artzin","Stars Horizon (ex)","Raze",3,8,"37.50"
"Exy","DAMWON Gaming","KAY/O",3,58,"5.17"
"f1cio","Fancy United Esports","Omen",3,13,"23.08"
"f1cio","Fancy United Esports","Neon",3,13,"23.08"
"Famouz","Persija Esports (ex)","Skye",3,16,"18.75"
"artzin","Stars Horizon (ex)","Neon",3,8,"37.50"
"Felix","HolyMolly (ex)","Brimstone",3,26,"11.54"
"Feniz","E-Xolos LAZER","KAY/O",3,16,"18.75"
"AslaN","BIG (ex)","Brimstone",3,25,"12.00"
"fenNy","SunXet Club","Jett",3,11,"27.27"
"TORANECO","Hexad (ex)","Viper",3,6,"50.00"
"flainzz","INGAMING Esports (ex)","Killjoy",3,9,"33.33"
"Tio","Movistar Optix","Sova",3,27,"11.11"
"TiGG","Shopify Rebellion (ex)","KAY/O",3,4,"75.00"
"flippy","South Built Esports (ex)","Breach",3,10,"30.00"
"flippy","South Built Esports (ex)","KAY/O",3,10,"30.00"
"Flynch","Persija Esports (ex)","Neon",3,16,"18.75"
"YRSelect","Griffin E-Sports (si)","Omen",3,16,"18.75"
"THEE","FULL SENSE","Killjoy",3,11,"27.27"
"Texta","ORDER (ex)","Brimstone",3,16,"18.75"
"FREY","Gaimin Gladiators (ex)","Chamber",3,6,"50.00"
"Fross","SunXet Club","Omen",3,11,"27.27"
"frostmind","BOOM Esports (ex)","Sova",3,27,"11.11"
"frostmind","BOOM Esports (ex)","Sage",3,27,"11.11"
"Frosty","Knights (ex)","Cypher",3,17,"17.65"
"Frosty","Knights (ex)","Astra",3,17,"17.65"
"frz","MIBR","Viper",3,17,"17.65"
"tex","NRG Esports (ex)","Raze",3,39,"7.69"
"Fung3","Griffin E-Sports","Breach",3,16,"18.75"
"YESicaN","Fancy United Esports","KAY/O",3,17,"17.65"
"Fuzari","Gamelanders Blue (ex)","Killjoy",3,24,"12.50"
"TENSAI","FENNEL (ex)","Breach",3,7,"42.86"
"GangPin","Sengoku Gaming (ex)","Sova",3,7,"42.86"
"YESicaN","Fancy United Esports","Astra",3,17,"17.65"
"asteriskk","Persija Esports","Sova",3,16,"18.75"
"10X","HolyMolly (ex)","Brimstone",3,26,"11.54"
"glym","Liberty (ex)","Astra",3,9,"33.33"
"TENNN","ZETA DIVISION","Killjoy",3,63,"4.76"
"gMd","TSM (ex)","Omen",3,10,"30.00"
"gob b","BIG (ex)","Breach",3,13,"23.08"
"GodDead","On Sla2ers","Skye",3,49,"6.12"
"Teerapong","FW Esports","Skye",3,5,"60.00"
"takej","REJECT (ex)","Reyna",3,31,"9.68"
"godko","Desperado (ex)","Skye",3,21,"14.29"
"GODLIKE","World Game Star (ex)","Raze",3,57,"5.26"
"GODLIKE","World Game Star (ex)","Sage",3,57,"5.26"
"gtnziN","MIBR (ex)","Brimstone",3,17,"17.65"
"takej","REJECT (ex)","Raze",3,31,"9.68"
"Asuna","100 Thieves","Neon",3,55,"5.45"
"SyouTa","Crest Gaming ZST (ex)","Astra",3,9,"33.33"
"HANLING","9z Team (ex)","Chamber",3,32,"9.38"
"AvovA","G2 Esports (Inactive) (ex)","KAY/O",3,57,"5.26"
"axeLuvY","Alter Ego (ex)","Viper",3,22,"13.64"
"Swee","IXA","Jett",3,5,"60.00"
"Hate","DAMWON Gaming (ex)","Sage",3,28,"10.71"
"hazed","NRG Esports (ex)","Brimstone",3,39,"7.69"
"hellff","Velocity Gaming","Killjoy",3,6,"50.00"
"SUTHER","9z Team (ex)","Sage",3,32,"9.38"
"Hermes","Brimstone (ex)","Jett",3,7,"42.86"
"Hoody","G2 Esports (Inactive) (ex)","Sova",3,57,"5.26"
"sushiboys","XERXIA Esports (ex)","Sova",3,61,"4.92"
"Sushi","EBRO Gaming (ex)","Cypher",3,11,"27.27"
"hyouka","Reignite","Killjoy",3,10,"30.00"
"hype","OG LDN UTD (ex)","Breach",3,21,"14.29"
"hype","OG LDN UTD (ex)","Sage",3,21,"14.29"
"YaBoiDre","Evil Geniuses (ex)","Chamber",3,12,"25.00"
"iluri","FOKUS (ex)","Breach",3,12,"25.00"
"XXiF","Knights (ex)","KAY/O",3,17,"17.65"
"iNTRO","DAMWON Gaming (ex)","Viper",3,8,"37.50"
"iNTRO","DAMWON Gaming (ex)","Chamber",3,8,"37.50"
"Zyppan","FunPlus Phoenix (ex)","Skye",3,95,"3.16"
"Jady","M3 Champions","Sage",3,12,"25.00"
"Jady","M3 Champions","Fade",3,12,"25.00"
"Jady","Natus Vincere (ex)","Viper",3,13,"23.08"
"Jamppi","Team Liquid","Sage",3,75,"4.00"
"SungJin","CNJ Esports (ex)","Jett",3,6,"50.00"
"jawgemo","Evil Geniuses","Chamber",3,35,"8.57"
"SungJin","CNJ Esports (ex)","Reyna",3,6,"50.00"
"Suka","Fancy United Esports (ex)","Fade",3,5,"60.00"
"Suggest","DetonatioN Gaming White (ex)","Jett",3,4,"75.00"
"jEEE","NAOS Esports","Viper",3,6,"50.00"
"b3ta","Made in Thailand","Viper",3,11,"27.27"
"SugarZ3ro","ZETA DIVISION","Omen",3,63,"4.76"
"SugarZ3ro","ZETA DIVISION","Brimstone",3,63,"4.76"
"jfoen","E-Xolos LAZER","Breach",3,16,"18.75"
"jfoen","E-Xolos LAZER","Sova",3,16,"18.75"
"jfoen","E-Xolos LAZER","Skye",3,16,"18.75"
"Johnqt","Ghost Gaming (ex)","Fade",3,15,"20.00"
"JonahP","The Guard","Raze",3,55,"5.45"
"JonahP","The Guard","Viper",3,55,"5.45"
"JonahP","The Guard","Brimstone",3,55,"5.45"
"jotinha","SunXet Club (ex)","Killjoy",3,11,"27.27"
"JoXJo","NORTHEPTION (ex)","Skye",3,40,"7.50"
"stax","DRX","Sage",3,91,"3.30"
"JUGi","FOKUS","Neon",3,12,"25.00"
"baddyG","FunPlus Phoenix (ex)","Viper",3,16,"18.75"
"Starxo","Acend","Chamber",3,37,"8.11"
"Ssun","Spear Gaming (ex)","Chamber",3,30,"10.00"
"sScary","XERXIA Esports (ex)","Brimstone",3,61,"4.92"
"badsitoww","Meta Gaming (ex)","KAY/O",3,10,"30.00"
"Kaminari","Hexad (ex)","Astra",3,6,"50.00"
"Kanpeki","Sentinels (ex)","Chamber",3,11,"27.27"
"KappA","Global Esports","Sova",3,5,"60.00"
"Kaspe","BIG (ex)","Cypher",3,13,"23.08"
"Sơn KeKe","Fancy United Esports (ex)","Chamber",3,12,"25.00"
"XiSTOU","SuperMassive (ex)","Viper",3,11,"27.27"
"something","Sengoku Gaming","Jett",3,4,"75.00"
"kiles","Acend (ex)","Cypher",3,13,"23.08"
"10X","HolyMolly (ex)","Jett",3,26,"11.54"
"kiles","Acend (ex)","Astra",3,13,"23.08"
"Killer0714","DetonatioN Gaming White","Astra",3,4,"75.00"
"killua","FW Esports","Neon",3,5,"60.00"
"KimGyuTae","Desperado","Reyna",3,15,"20.00"
"Klaus","KRÜ Esports","Killjoy",3,73,"4.11"
"Knight","Pentagon","Astra",3,5,"60.00"
"SiuFatBB","Griffin E-Sports","Neon",3,16,"18.75"
"kon4n","TBK Esports (ex)","Sova",3,38,"7.89"
"kon4n","TBK Esports (ex)","Neon",3,38,"7.89"
"bang","100 Thieves","Astra",3,50,"6.00"
"bang","100 Thieves","KAY/O",3,50,"6.00"
"Kr1stal","BLUE BEES.ESP (ex)","Chamber",3,13,"23.08"
"krain","Liberty","Brimstone",3,20,"15.00"
"krain","Liberty","Chamber",3,20,"15.00"
"SID","VPZ","Jett",3,4,"75.00"
"SicK","Sentinels (ex)","Skye",3,24,"12.50"
"kurozooted","Reignite","KAY/O",3,10,"30.00"
"L1NK","Acend (ex)","Brimstone",3,6,"50.00"
"L1NK","Team Liquid (ex)","Sage",3,38,"7.89"
"Lakia","IGZIST (ex)","Skye",3,19,"15.79"
"Lawrence","GoNGo Prince","Breach",3,7,"42.86"
"sheydos","M3 Champions","Fade",3,81,"3.70"
"leaf","Cloud9","Neon",3,47,"6.38"
"lenne","Bleed Esports (ex)","Breach",3,37,"8.11"
"Bazzi","On Sla2ers (ex)","Sage",3,49,"6.12"
"LEXY","Bleed Esports (ex)","Killjoy",3,24,"12.50"
"LEXY","Bleed Esports (si)","Breach",3,3,"100.00"
"shelbyN","EBRO Gaming (ex)","Viper",3,11,"27.27"
"LOB","FAV gaming","Breach",3,23,"13.04"
"Lok1","CERBERUS Esports (ex)","Viper",3,15,"20.00"
"ShahZaM","Sentinels (ex)","Chamber",3,38,"7.89"
"LucasVade","Meta Gaming (ex)","Cypher",3,10,"30.00"
"LucasVade","Meta Gaming (ex)","Sova",3,10,"30.00"
"BcJ","XSET (ex)","Breach",3,66,"4.55"
"luckeRRR","BIG (ex)","KAY/O",3,24,"12.50"
"luckeRRR","BIG (ex)","KAY/O",3,24,"12.50"
"seven","TSM (ex)","Jett",3,10,"30.00"
"SEIDER","FunPlus Phoenix (si)","Omen",3,10,"30.00"
"Secret","Desperado (ex)","Skye",3,21,"14.29"
"bdog","Luminosity Gaming (ex)","Sage",3,33,"9.09"
"Majestyy","FW Esports","Breach",3,5,"60.00"
"Maple","ORDER (ex)","Skye",3,16,"18.75"
"Marky","Oasis Gaming","Raze",3,4,"75.00"
"Benecia","CNJ Esports","Brimstone",3,24,"12.50"
"s0m","NRG Esports","Chamber",3,39,"7.69"
"Benkai","Paper Rex","Viper",3,61,"4.92"
"s0m","NRG Esports","Sage",3,39,"7.69"
"RyZzi","Desperado (ex)","KAY/O",3,21,"14.29"
"Medusa","REJECT (ex)","Sova",3,31,"9.68"
"RyZzi","Desperado (ex)","Sova",3,21,"14.29"
"Medusa","REJECT (ex)","Chamber",3,31,"9.68"
"BerserX","BOOM Esports","Skye",3,45,"6.67"
"Russ","Guild Esports (ex)","Cypher",3,47,"6.38"
"micr0","South Built Esports (ex)","Viper",3,4,"75.00"
"Minimise","Bonkers(OCE) (ex)","Sage",3,8,"37.50"
"Minty","FAV gaming","Chamber",3,23,"13.04"
"Misaya","Sengoku Gaming","Breach",3,11,"27.27"
"Rossy","TSM (ex)","Breach",3,10,"30.00"
"Misaya","Sengoku Gaming","Skye",3,11,"27.27"
"こころん","looking for a name","Skye",2,2,"100.00"
"이토히로부비부빗","Team T5 (ex)","Sage",2,6,"33.33"
"10X","Brimstone (si)","Raze",2,7,"28.57"
"10X","Brimstone (si)","Jett",2,7,"28.57"
"10X","HolyMolly (ex)","KAY/O",2,26,"7.69"
"10X","HolyMolly (ex)","Chamber",2,26,"7.69"
"10X","HolyMolly (ex)","Neon",2,26,"7.69"
"2GE","Rex Regum Qeon","Viper",2,8,"25.00"
"2GE","Rex Regum Qeon","Skye",2,8,"25.00"
"ableJ","FURIA (ex)","Viper",2,34,"5.88"
"ableJ","FURIA (ex)","Skye",2,34,"5.88"
"Addicted","Sharks Esports (ex)","Viper",2,9,"22.22"
"adverso","Leviatán (ex)","Skye",2,71,"2.82"
"aimDLL","BBL Esports","Killjoy",2,26,"7.69"
"aimDLL","BBL Esports","Omen",2,26,"7.69"
"aimDLL","BBL Esports","KAY/O",2,26,"7.69"
"Akame","Jadeite","Sova",2,8,"25.00"
"Akame","K2 eSports (ex)","Jett",2,2,"100.00"
"Alfajer","FNATIC","Sage",2,45,"4.44"
"allow","Jadeite (ex)","Raze",2,12,"16.67"
"AloNeFillz","Made in Thailand","Fade",2,28,"7.14"
"ANGE1","FunPlus Phoenix (ex)","Killjoy",2,85,"2.35"
"Anguuuuu","Storks Phalanx (ex)","Viper",2,4,"50.00"
"Anguuuuu","Storks Phalanx (ex)","Astra",2,4,"50.00"
"Anker","Jadeite (ex)","Skye",2,12,"16.67"
"Apinya","FW Esports (ex)","Astra",2,5,"40.00"
"aproto","Ghost Gaming (ex)","Brimstone",2,15,"13.33"
"arm1e","EVA:e (ex)","Breach",2,3,"66.67"
"Ask","Reignite","Breach",2,2,"100.00"
"AsLanM4shadoW","BBL Esports","Sova",2,26,"7.69"
"AsLanM4shadoW","BBL Esports","Reyna",2,26,"7.69"
"Astell","Crazy Raccoon","Brimstone",2,40,"5.00"
"asteriskk","Persija Esports","Astra",2,16,"12.50"
"Asuna","100 Thieves","Fade",2,55,"3.64"
"AztKk","FUSION (ex)","Breach",2,4,"50.00"
"AztKk","FUSION (ex)","Skye",2,4,"50.00"
"azys","South Built Esports (ex)","KAY/O",2,11,"18.18"
"B1ngSu","Veronica7","Cypher",2,5,"40.00"
"B1ngSu","Veronica7","Chamber",2,5,"40.00"
"b3ta","Made in Thailand","Omen",2,11,"18.18"
"b3ta","Made in Thailand","Astra",2,11,"18.18"
"BABYBAY","FaZe Clan","KAY/O",2,37,"5.41"
"baddyG","FunPlus Phoenix (ex)","Sage",2,16,"12.50"
"ban","Knights (ex)","Skye",2,17,"11.76"
"BandiCoot","E-Xolos LAZER","Viper",2,16,"12.50"
"BandiCoot","E-Xolos LAZER","Skye",2,16,"12.50"
"BandiCoot","E-Xolos LAZER","Astra",2,16,"12.50"
"Bangnan","DAMWON Gaming (ex)","Raze",2,28,"7.14"
"bazz","FAV gaming","Brimstone",2,23,"8.70"
"Bazzi","On Sla2ers (ex)","Skye",2,49,"4.08"
"Bazzi","On Sla2ers (ex)","Chamber",2,49,"4.08"
"BcJ","XSET (ex)","Sage",2,66,"3.03"
"bezn1","Ninjas in Pyjamas (ex)","Chamber",2,66,"3.03"
"Biju","IXA (ex)","Viper",2,5,"40.00"
"BlackWiz","NORTHEPTION","Fade",2,40,"5.00"
"Blas","NAOS Esports","Sage",2,4,"50.00"
"blaZek1ng","BOOM Esports","Sage",2,45,"4.44"
"blurred","NAOS Esports","Raze",2,6,"33.33"
"bnj","9z Team (si)","Skye",2,7,"28.57"
"bnj","Ninjas in Pyjamas (ex)","Astra",2,34,"5.88"
"Bonecold","Acend (ex)","Killjoy",2,13,"15.38"
"Boo","LDN UTD (ex)","KAY/O",2,12,"16.67"
"Boo","OG LDN UTD (ex)","Viper",2,21,"9.52"
"Boostio","Evil Geniuses","Cypher",2,35,"5.71"
"Brave","SuperMassive (ex)","Breach",2,11,"18.18"
"Brave","SuperMassive (ex)","Skye",2,11,"18.18"
"Brinks","Gamelanders Blue (si)","Raze",2,9,"22.22"
"Brinks","Gamelanders Blue (si)","Fade",2,9,"22.22"
"Brofeld","Jadeite","Killjoy",2,8,"25.00"
"Brofeld","Jadeite","Chamber",2,8,"25.00"
"bucher","FOKUS (ex)","Killjoy",2,12,"16.67"
"ChAlalala","FULL SENSE (ex)","Chamber",2,11,"18.18"
"chase","Gamelanders Blue (ex)","Skye",2,24,"8.33"
"chase","Gamelanders Blue (ex)","Fade",2,24,"8.33"
"CHICHOO","EDward Gaming","Viper",2,5,"40.00"
"CHIMEI","Oblivion Force","KAY/O",2,4,"50.00"
"CHIMEI","Oblivion Force","Chamber",2,4,"50.00"
"Chronicle","Gambit Esports (ex)","Viper",2,5,"40.00"
"Chronicle","Gambit Esports (ex)","Brimstone",2,5,"40.00"
"Chronicle","M3 Champions (ex)","Jett",2,81,"2.47"
"ClarK","World Game Star (ex)","KAY/O",2,5,"40.00"
"Cloud","Natus Vincere (ex)","Neon",2,35,"5.71"
"CLZ","FENNEL","Viper",2,7,"28.57"
"coco","Oasis Gaming","Viper",2,4,"50.00"
"Creative","GoNGo Prince","Sova",2,2,"100.00"
"crws","XERXIA Esports (ex)","Omen",2,61,"3.28"
"cuda","GyoGun (ex)","Jett",2,2,"100.00"
"curry","Cloud9 (ex)","Breach",2,17,"11.76"
"curry","Cloud9 (ex)","KAY/O",2,17,"11.76"
"CyderX","BBL Esports (si)","Breach",2,4,"50.00"
"CyderX","SuperMassive (ex)","Skye",2,11,"18.18"
"D1E","Movistar Optix","Sova",2,14,"14.29"
"D1E","Movistar Optix","Chamber",2,14,"14.29"
"d3ffo","Gambit Esports (ex)","Raze",2,5,"40.00"
"d3ffo","M3 Champions (ex)","Skye",2,34,"5.88"
"d3ffo","M3 Champions (ex)","Chamber",2,34,"5.88"
"d3ffo","M3 Champions (ex)","Neon",2,34,"5.88"
"dapr","Sentinels (ex)","Cypher",2,38,"5.26"
"dapr","Sentinels (ex)","KAY/O",2,38,"5.26"
"Darker","FUSION","Chamber",2,4,"50.00"
"dazzLe","Shopify Rebellion","Breach",2,4,"50.00"
"Dcop","FUSION","Sage",2,14,"14.29"
"Dcop","FUSION","Reyna",2,14,"14.29"
"Defectio","ややーず (ex)","Jett",2,2,"100.00"
"deigara","9z Team","Killjoy",2,39,"5.13"
"deigara","9z Team","Viper",2,39,"5.13"
"deigara","9z Team","Sage",2,39,"5.13"
"deigara","9z Team","KAY/O",2,39,"5.13"
"Den2","Spear Gaming (ex)","Breach",2,7,"28.57"
"Den2","Spear Gaming (ex)","Sova",2,7,"28.57"
"Dep","ZETA DIVISION","KAY/O",2,63,"3.17"
"dephh","XSET (ex)","Killjoy",2,66,"3.03"
"dephh","XSET (ex)","Brimstone",2,66,"3.03"
"Derialy","FENNEL (ex)","Breach",2,7,"28.57"
"Derialy","FENNEL (ex)","Killjoy",2,7,"28.57"
"Destrian","OG LDN UTD (ex)","Brimstone",2,21,"9.52"
"dgzin","FURIA","Neon",2,15,"13.33"
"Dhimorutoo","Reignite (ex)","Sage",2,8,"25.00"
"Dhimorutoo","Reignite (ex)","Astra",2,8,"25.00"
"dinkzj","Natus Vincere (ex)","Sage",2,35,"5.71"
"dinkzj","Natus Vincere (ex)","Fade",2,35,"5.71"
"Dispenser","Team Secret","Viper",2,20,"10.00"
"Dispenser","Team Secret","Sage",2,20,"10.00"
"Dreamas","LDN UTD (ex)","Sage",2,12,"16.67"
"Dszera","Team Vikings (ex)","Sage",2,9,"22.22"
"DubsteP","Team Secret","Yoru",2,27,"7.41"
"Duno","Natus Vincere (ex)","Skye",2,35,"5.71"
"DxN","No Namers (ex)","Killjoy",2,5,"40.00"
"dzii","Gaimin Gladiators (ex)","KAY/O",2,6,"33.33"
"Envy","FENNEL (ex)","Killjoy",2,7,"28.57"
"Envy","FENNEL (ex)","Viper",2,7,"28.57"
"Enzo","FNATIC (ex)","Breach",2,49,"4.08"
"Esperanza","DAMWON Gaming","Cypher",2,58,"3.45"
"Esperanza","DAMWON Gaming","KAY/O",2,58,"3.45"
"Estrella","Desperado (ex)","Raze",2,5,"40.00"
"Estrella","Desperado (ex)","Jett",2,5,"40.00"
"Ethan","100 Thieves (ex)","Sova",2,13,"15.38"
"ExiA","Spear Gaming","Breach",2,23,"8.70"
"ExiA","Spear Gaming","Skye",2,23,"8.70"
"Exy","DAMWON Gaming","Reyna",2,58,"3.45"
"Felix","Brimstone (si)","Sage",2,7,"28.57"
"Feniz","E-Xolos LAZER","Sova",2,16,"12.50"
"Feniz","E-Xolos LAZER","Killjoy",2,16,"12.50"
"Feniz","E-Xolos LAZER","Chamber",2,16,"12.50"
"feqew","LDN UTD (ex)","Cypher",2,12,"16.67"
"feqew","OG LDN UTD (ex)","Breach",2,21,"9.52"
"feqew","OG LDN UTD (ex)","Raze",2,21,"9.52"
"FifTy","DeToNator","Jett",2,3,"66.67"
"Fisker","FAV gaming (ex)","KAY/O",2,23,"8.70"
"flainzz","Stars Horizon","Fade",2,8,"25.00"
"flippy","South Built Esports (ex)","Sova",2,10,"20.00"
"flyuh","FaZe Clan (ex)","Sage",2,35,"5.71"
"foxz","XERXIA Esports (ex)","Sage",2,61,"3.28"
"FREY","Gaimin Gladiators (ex)","Killjoy",2,6,"33.33"
"Fross","SunXet Club","Brimstone",2,11,"18.18"
"Fross","SunXet Club","Sage",2,11,"18.18"
"frostmind","BOOM Esports (ex)","Breach",2,27,"7.41"
"frostmind","BOOM Esports (ex)","Omen",2,27,"7.41"
"frz","Sharks Esports (ex)","Killjoy",2,9,"22.22"
"frz","Sharks Esports (ex)","Sage",2,9,"22.22"
"FuriousMeow","Oblivion Force","Sage",2,4,"50.00"
"FuriousMeow","Oblivion Force","Omen",2,4,"50.00"
"Fuzari","Gamelanders Blue (ex)","Breach",2,24,"8.33"
"Fuzari","Gamelanders Blue (ex)","Chamber",2,24,"8.33"
"Gabriel","AWS","Astra",2,2,"100.00"
"GangPin","Sengoku Gaming (ex)","Skye",2,7,"28.57"
"GangPin","Sengoku Gaming (ex)","Neon",2,7,"28.57"
"gio","Movistar Optix","Chamber",2,27,"7.41"
"gio","Movistar Optix","Fade",2,27,"7.41"
