"Ign","Team","Acs","Matches"
"STYRON","Gaimin Gladiators (ex)",176,6
"pdr","INGAMING Esports (ex)",176,9
"zombs","Sentinels (ex)",176,19
"Duno","Natus Vincere (ex)",176,35
"Pooky","CNJ Esports (ex)",175,6
"vong","FOKUS (ex)",175,12
"SylFy","Jadeite (ex)",175,12
"rochet","SunXet Club (ex)",175,11
"DaeGi","Team GP (ex)",175,6
"Dreamas","LDN UTD (ex)",175,12
"Phantom","FAV gaming",175,23
"nephh","Gaimin Gladiators (ex)",175,6
"Turko","BBL Esports",175,24
"Defectio","ややーず (ex)",175,2
"gob b","BIG (ex)",175,13
"alyaL","CERBERUS Esports (ex)",175,7
"Eugene","DAMWON Gaming",175,5
"Klaus","KRÜ Esports",175,73
"NcSlasher","Onic Esports (ex)",174,38
"ExiA","Spear Gaming",174,23
"Addicted","Sharks Esports (ex)",174,9
"mNdS","MIBR (ex)",174,17
"hazed","NRG Esports (ex)",174,39
"artn","Gaimin Gladiators (ex)",174,6
"Haodong","EDward Gaming",174,5
"pouoxo","TRIDENT (ex)",173,2
"Ran","SETOUCHI ENLIFE (ex)",173,2
"Kaminari","Hexad (ex)",173,6
"AYRIN","XSET (ex)",173,66
"Amaterasu","Velocity Gaming",173,6
"Jeong Hi","DAMWON Gaming (ex)",172,27
"AvovA","G2 Esports (Inactive) (ex)",172,57
"pollo","Team Vikings (ex)",172,9
"Meimoo","Rebellion Arts",172,2
"ParkJJong","Tartarus (ex)",172,16
"koldamenta","Guild Esports",172,54
"iluri","FOKUS (ex)",172,12
"asteriskk","Persija Esports",172,16
"curry","Cloud9 (ex)",172,17
"dimasick","Team Liquid",172,26
"Destrian","OG LDN UTD (ex)",172,21
"dazzLe","Shopify Rebellion",171,4
"Rainy","Griffin E-Sports",171,16
"Yun","Pentagon",171,5
"Skyfull","DeToNator (ex)",171,3
"jfoen","E-Xolos LAZER",171,16
"Draxii","Rex Regum Qeon (ex)",171,8
"Lily","EVA:e",171,3
"bucher","FOKUS (ex)",170,12
"godko","Desperado (ex)",170,21
"柳ヶ瀬鈴乃","IXA (ex)",170,5
"FuriousMeow","Oblivion Force",170,4
"Destrian","LDN UTD (ex)",170,12
"PEPA","Team Vikings (ex)",170,9
"Art","Sengoku Gaming (ex)",169,11
"Blas","NAOS Esports",169,4
"oikou","GyoGun (ex)",169,2
"brawk","Ghost Gaming (ex)",169,15
"L1NK","Team Liquid (ex)",169,38
"Ludens","K2 eSports (ex)",169,2
"Jan","Next eSports",169,3
"2GE","Rex Regum Qeon",169,8
"Obnoks","BIG (ex)",169,25
"RoaN","SunXet Club (ex)",168,11
"NeruFi","Crest Gaming ZST",168,9
"Jady","M3 Champions",168,12
"ableJ","FURIA (ex)",168,34
"Dhimorutoo","Reignite (ex)",168,8
"Peloncito","E-Xolos LAZER",168,9
"v1xen","Ninjas in Pyjamas (ex)",167,32
"B4nnba","Pentagon",167,5
"Delta","Maru Gaming (ex)",167,22
"pho","Evil Geniuses (ex)",167,12
"AcMe","Veronica7",167,5
"Fantasy","Team T5",167,16
"Num","AWS (ex)",167,2
"KimGyuTae","Desperado",167,16
"hype","OG LDN UTD (ex)",167,21
"lukzera","TBK Esports",167,38
"Marmelo","Jadeite",167,4
"Sk9Na","Team GP (ex)",167,6
"CHIMEI","Oblivion Force",167,4
"flainzz","Stars Horizon",167,8
"Reformed","Evil Geniuses",167,35
"bnj","Ninjas in Pyjamas (ex)",166,34
"ANGE1","FunPlus Phoenix (ex)",166,85
"이토히로부비부빗","Team T5 (ex)",166,6
"wait","KRÜ Esports (ex)",166,3
"shroud","Sentinels",166,8
"Delend","Made in Thailand (ex)",166,17
"olzerr","PAMPAS (ex)",166,11
"nobody","EDward Gaming",165,5
"Citrus7","SchwarzerLand",165,2
"hyouka","Reignite",165,10
"crow","ZETA DIVISION",165,63
