"Ign","Team","Opponents","Clutches","Clutch Failures"
"Wild0reoo","Oasis Gaming",,1,11
"GOLD","Desperado (ex)",,5,56
"zekken","XSET (ex)",,10,113
"AloNeFillz","Made in Thailand",,7,80
"Sơn KeKe","Fancy United Esports (ex)",,2,23
"oitaN","IGZIST",,4,46
"MOLSI","LDN UTD (ex)",,2,23
"NakJi","Maru Gaming (ex)",,14,163
"HANN","World Game Star",,9,105
"Sushi","EBRO Gaming (ex)",,3,35
"Wenty","Tartarus (ex)",,3,35
"rochet","SunXet Club (ex)",,3,35
"XXiF","Knights (ex)",,3,36
"AcMe","Veronica7",,1,12
"Shun","No Namers (ex)",,2,24
"Tempz","No Namers (ex)",,1,12
"Eeyore","Persija Esports",,2,24
"D1E","Movistar Optix",,3,36
"artzin","Stars Horizon (ex)",,1,12
"Dobsha","E-Xolos LAZER (ex)",,1,12
"munghoon","VPZ",,1,12
"Hiko","100 Thieves (ex)",,4,48
"KuuKai","Crest Gaming ZST (ex)",,1,12
"yoman","Next eSports (ex)",,1,12
"Akame","Jadeite",,1,12
"HANLING","9z Team (ex)",,6,72
"Jan","Next eSports",,1,12
"brawk","Ghost Gaming (ex)",,3,37
"Famouz","BOOM Esports (ex)",,3,37
"Obnoks","BIG (ex)",,5,62
"Glovee","SuperMassive (ex)",,2,25
"NicoMachine","Meta Gaming (ex)",,2,25
"Eliza","GoNGo Prince (ex)",,2,25
"Boostio","Evil Geniuses",,6,77
"10X","Brimstone (si)",,1,13
"Hermes","Brimstone (ex)",,1,13
"Tuli","9z Team (si)",,1,13
"DOGAO","Movistar Optix",,1,13
"Veroneze","Team Vikings (ex)",,1,13
"Anker","Jadeite (ex)",,2,26
"Feniz","E-Xolos LAZER",,3,39
"blurred","NAOS Esports",,1,13
"YRSelect","Griffin E-Sports (si)",,2,27
"luckeRRR","BIG (ex)",,2,27
"luckeRRR","BIG (ex)",,2,27
"PADO","Veronica7 (ex)",,1,14
"SEIDER","FunPlus Phoenix (si)",,2,28
"coco","Oasis Gaming",,1,14
"Zerost","Sengoku Gaming",,1,14
"ParkJJong","Team GP (ex)",,1,14
"kiles","Acend (ex)",,2,28
"Felix","HolyMolly (ex)",,4,57
"WKN","Meta Gaming (ex)",,2,29
"Pooky","CNJ Esports (ex)",,1,15
"TORANECO","Hexad (ex)",,1,15
"pdr","INGAMING Esports (ex)",,1,15
"Haxball","VPZ",,1,15
"Kant","VPZ (ex)",,1,15
"zombs","Sentinels (ex)",,3,45
"NANZIN","Stars Horizon",,2,30
"mnz","IXA",,1,15
"NeruFi","Crest Gaming ZST",,2,30
"SkRossi","Global Esports",,1,15
"Nozz","Bonkers(OCE) (ex)",,1,15
"Surf","XERXIA Esports (ex)",,7,110
"C1nder","SCARZ (ex)",,1,16
"HellrangeR","Global Esports",,1,16
"bdog","Shopify Rebellion",,1,16
"Dhimorutoo","Reignite (ex)",,1,16
"L1NK","Acend (ex)",,1,16
"Flax","Hexad (ex)",,1,16
"Maverick","Stars Horizon (ex)",,1,17
"KappA","Global Esports",,1,17
"PEPA","Team Vikings (ex)",,2,35
"wippie","Version1 (Inactive) (ex)",,3,53
"Gunny","GoNGo Prince",,1,18
"YaBoiLewis","FOKUS",,1,18
"gio","Movistar Optix",,4,74
"shelbyN","EBRO Gaming (ex)",,2,37
"KILLDREAMST","Sharks Esports (ex)",,1,19
"Biju","IXA (ex)",,1,19
"Foxy9","Reignite (ex)",,1,19
"Rain","CNJ Esports",,1,19
"tixx","Bonkers(OCE) (ex)",,1,19
"ban","Knights (ex)",,2,39
"RoaN","SunXet Club (ex)",,1,20
"Wavy","CNJ Esports",,2,41
"Has1ra14","CNJ Esports",,3,64
"cNed","Acend (ex)",,4,86
"gMd","TSM (ex)",,1,22
"hyouka","Reignite",,1,22
